cx,cy,w,h,area_px
503,688,9,8,56.0
526,688,8,8,49.0
550,688,8,8,49.0
574,688,9,8,56.0
597,688,8,8,49.0
621,688,8,8,49.0
645,688,9,8,56.0
668,688,8,8,49.0
692,688,8,8,49.0
716,688,9,8,56.0
739,688,8,8,49.0
763,688,8,8,49.0
787,688,8,8,49.0
810,688,8,8,49.0
834,688,8,8,49.0
363,711,9,13,81.0
919,711,8,9,56.0
943,711,8,9,56.0
967,711,8,9,56.0
990,711,8,9,56.0
1014,711,8,9,56.0
503,712,9,8,56.0
526,712,8,8,49.0
550,712,8,8,49.0
574,712,9,8,56.0
597,712,8,8,49.0
621,712,8,8,49.0
645,712,9,8,56.0
668,712,8,8,49.0
692,712,8,8,49.0
716,712,9,8,56.0
740,712,9,8,56.0
763,712,8,8,49.0
787,712,9,8,56.0
811,712,9,8,56.0
834,712,8,8,49.0
198,732,8,12,68.5
246,733,9,13,81.0
269,732,8,12,69.0
293,732,8,12,68.5
919,734,9,9,63.5
943,735,8,9,56.0
967,734,9,9,63.5
990,734,8,8,49.0
1014,735,8,9,56.0
1038,734,8,8,49.0
1062,734,9,8,56.0
1085,734,8,8,49.0
1109,734,8,8,49.0
1133,734,9,8,56.0
503,736,9,9,64.0
526,736,8,9,56.0
550,736,8,9,56.0
574,736,9,9,64.0
597,736,8,9,56.0
621,736,8,9,56.0
645,736,9,9,64.0
668,736,8,9,56.0
692,736,8,9,56.0
716,736,9,9,64.0
739,736,9,9,63.5
763,736,8,9,56.0
787,736,9,9,64.0
811,736,9,9,64.0
834,736,8,9,56.0
198,752,8,12,65.5
222,752,9,12,73.0
245,752,8,12,65.5
269,752,8,12,69.0
293,752,9,12,73.0
317,752,9,12,73.0
340,752,8,12,69.0
364,752,9,12,73.0
388,752,9,12,73.0
411,752,8,12,69.0
174,753,8,8,49.0
920,758,9,8,56.0
943,758,8,8,49.0
967,758,9,8,56.0
991,758,9,8,56.0
1014,758,8,8,49.0
1038,758,8,8,49.0
1062,758,9,8,56.0
1085,758,8,8,49.0
1109,758,8,8,49.0
1133,758,9,8,56.0
1156,758,8,8,49.0
503,760,9,9,64.0
526,760,8,9,56.0
550,760,8,9,56.0
574,760,9,9,64.0
597,760,8,9,56.0
621,760,8,9,56.0
645,760,9,9,64.0
668,760,8,9,56.0
692,760,8,9,56.0
716,759,9,9,63.5
739,759,9,9,63.5
763,760,8,9,56.0
787,759,9,9,63.5
810,759,9,9,63.5
834,760,8,9,56.0
174,777,8,8,49.0
198,777,8,8,49.0
222,777,9,8,56.0
245,777,8,8,49.0
269,777,8,8,49.0
293,777,9,8,56.0
317,777,9,8,56.0
340,777,8,8,49.0
364,777,9,8,56.0
388,777,9,8,56.0
411,777,8,8,49.0
919,782,9,9,63.5
943,782,8,9,56.0
967,782,9,9,64.0
991,782,9,9,64.0
1014,782,8,9,56.0
1038,782,8,9,56.0
1062,782,9,9,64.0
1085,782,8,9,56.0
1109,782,8,9,56.0
1133,782,9,9,64.0
1156,782,8,9,56.0
503,783,9,8,56.0
526,783,8,8,49.0
550,783,8,8,49.0
574,783,9,8,56.0
597,783,8,8,49.0
621,783,8,8,49.0
645,783,9,8,56.0
668,783,8,8,49.0
692,783,8,8,49.0
716,783,9,8,56.0
740,783,9,8,56.0
763,783,8,8,49.0
787,783,9,8,56.0
811,783,9,8,56.0
834,783,8,8,49.0
150,804,8,9,56.0
174,804,8,9,56.0
198,804,9,9,64.0
222,804,9,9,64.0
245,804,8,9,56.0
269,804,9,9,64.0
293,804,9,9,64.0
316,804,8,9,56.0
340,804,8,9,56.0
364,804,9,9,64.0
387,804,8,9,56.0
411,804,8,9,56.0
503,807,9,10,71.0
526,807,8,10,63.0
550,807,8,10,63.0
574,807,9,10,71.0
597,807,8,10,63.0
621,807,8,10,63.0
645,807,9,10,71.0
668,807,8,10,63.0
692,807,8,10,63.0
716,807,9,10,71.0
739,807,9,10,70.5
763,807,8,10,63.0
787,807,9,10,70.5
811,807,9,10,71.0
834,807,8,10,63.0
919,806,9,10,71.0
943,806,8,10,63.0
967,806,9,10,71.5
990,806,9,10,71.5
1014,806,8,10,63.0
1038,806,8,10,63.0
1061,806,9,10,71.5
1085,806,8,10,63.0
1109,806,8,10,63.0
1133,806,9,10,72.0
1156,806,8,10,63.0
1180,806,8,10,63.0
127,829,9,11,72.0
150,829,8,10,60.0
174,829,8,10,60.0
198,829,9,11,72.0
221,829,8,10,60.0
245,829,8,10,60.0
269,829,9,11,72.0
292,829,8,10,60.0
316,829,8,10,60.0
340,829,9,11,72.0
363,829,8,10,60.0
387,829,8,10,60.0
411,829,9,11,72.0
920,830,9,8,56.0
943,830,8,8,49.0
967,830,9,8,56.0
991,830,9,8,56.0
1014,830,8,8,49.0
1038,830,8,8,49.0
1062,830,9,8,56.0
1085,830,8,8,49.0
1109,830,8,8,49.0
1133,830,9,8,56.0
1156,830,8,8,49.0
1180,830,8,8,49.0
1204,830,9,8,56.0
503,832,9,9,64.0
526,832,8,9,56.0
550,832,8,9,56.0
574,832,9,9,64.0
597,832,8,9,56.0
621,832,8,9,56.0
645,832,9,9,64.0
668,832,8,9,56.0
692,832,8,9,56.0
716,832,9,9,64.0
739,831,9,9,63.5
763,832,8,9,56.0
787,832,9,9,64.0
811,832,9,9,64.0
834,832,8,9,56.0
128,851,9,11,72.0
151,851,8,10,60.0
175,851,9,11,71.5
199,851,9,11,72.0
222,851,8,10,60.0
246,851,8,11,64.0
270,851,9,11,72.0
293,851,8,10,60.0
317,851,8,11,64.0
341,851,9,11,72.0
364,851,8,10,61.0
388,851,8,10,60.0
412,851,9,11,72.0
104,852,9,9,64.0
920,854,9,8,56.0
943,854,8,8,49.0
967,854,9,8,56.0
991,854,9,8,56.0
1014,854,8,8,49.0
1038,854,8,8,49.0
1062,854,9,8,56.0
1085,854,8,8,49.0
1109,854,8,8,49.0
1133,854,9,8,56.0
1156,854,8,8,49.0
1180,854,8,8,49.0
1204,854,9,8,56.0
1227,854,8,8,49.0
503,855,9,8,56.0
526,855,8,8,49.0
550,855,8,8,49.0
574,855,9,8,56.0
597,855,8,8,49.0
621,855,8,8,49.0
645,855,9,8,56.0
668,855,8,8,49.0
692,855,8,8,49.0
716,855,9,8,56.0
740,855,9,8,56.0
763,855,8,8,49.0
787,855,9,8,56.0
811,855,9,8,56.0
834,855,8,8,49.0
104,876,9,9,64.0
128,876,9,9,64.0
151,876,8,9,56.0
175,875,9,9,63.5
199,876,9,9,64.0
222,876,8,9,56.0
246,876,8,9,56.0
270,876,9,9,64.0
293,876,8,9,56.0
317,876,8,9,56.0
341,876,9,9,64.0
364,876,8,9,56.0
388,876,8,9,56.0
412,876,9,9,64.0
919,878,9,9,63.0
943,878,8,9,56.0
967,878,9,9,64.0
991,878,9,9,64.0
1014,878,8,9,56.0
1038,878,8,9,56.0
1062,878,9,9,64.0
1085,878,8,9,56.0
1109,878,8,9,56.0
1133,878,9,9,64.0
1156,878,8,9,56.0
1180,878,8,9,56.0
1204,878,9,9,64.0
1227,878,8,9,56.0
503,879,9,8,56.0
526,879,8,8,49.0
550,879,8,8,49.0
574,879,9,8,56.0
597,879,8,8,49.0
621,879,8,8,49.0
645,879,9,8,56.0
668,879,8,8,49.0
692,879,8,8,49.0
716,879,9,8,56.0
