cx,cy,w,h,area_px
195,585,14,14,169.0
225,585,14,14,169.0
255,585,14,14,169.0
285,585,14,14,169.0
316,585,14,14,169.0
346,585,14,14,169.0
376,585,14,14,169.0
406,585,14,14,168.0
486,585,14,14,169.0
516,585,14,14,169.0
546,585,14,14,169.0
577,585,14,14,169.0
607,585,14,14,169.0
637,585,14,14,169.0
668,585,14,14,168.0
698,585,14,14,169.0
728,585,14,14,169.0
758,585,14,14,169.0
789,585,14,14,169.0
819,585,14,14,169.0
849,585,14,14,169.0
879,585,14,14,169.0
910,585,14,14,169.0
985,585,14,14,169.0
1016,585,14,14,169.0
1046,585,14,14,169.0
1076,585,14,14,169.0
1106,585,14,14,169.0
1137,585,14,14,169.0
1167,585,14,14,169.0
1197,585,14,14,169.0
195,615,14,14,169.0
225,615,14,14,169.0
255,615,14,14,169.0
285,615,14,14,169.0
316,615,14,14,169.0
346,615,14,14,169.0
376,615,14,14,169.0
406,615,14,14,168.5
486,615,14,14,169.0
516,615,14,14,169.0
546,615,14,14,168.5
577,615,14,14,169.0
607,615,14,14,169.0
637,615,14,14,169.0
668,615,14,14,168.0
698,615,14,14,169.0
728,615,14,14,169.0
758,615,14,14,169.0
789,615,14,14,169.0
819,615,14,14,169.0
849,615,14,14,169.0
879,615,14,14,169.0
985,615,14,14,169.0
1016,615,14,14,169.0
1046,615,14,14,169.0
1076,615,14,14,169.0
1106,615,14,14,169.0
1137,615,14,14,169.0
1167,615,14,14,169.0
1197,615,14,14,169.0
195,645,14,14,168.5
225,645,14,14,168.5
255,645,14,14,168.5
285,645,14,14,168.5
316,645,14,14,168.5
346,645,14,14,169.0
376,645,14,15,181.5
407,646,15,15,194.0
486,645,14,15,181.5
516,645,14,15,181.5
546,645,14,14,168.5
577,645,14,14,168.5
607,645,14,14,169.0
637,645,14,14,168.5
668,645,14,14,168.5
698,645,14,14,168.5
728,645,14,14,169.0
758,645,14,14,168.5
789,645,14,14,168.5
819,645,14,14,168.5
849,645,14,14,169.0
879,645,14,15,181.5
910,645,14,15,181.5
985,645,14,14,168.5
1016,645,14,14,168.5
1046,645,14,14,168.5
1076,645,14,14,168.5
1106,645,14,14,168.5
1137,645,14,14,168.5
1167,645,14,14,169.0
1197,645,14,14,168.5
195,676,14,14,169.0
225,676,14,14,169.0
255,676,14,14,169.0
285,676,14,14,169.0
316,676,14,14,169.0
346,676,14,14,169.0
376,676,14,14,169.0
406,676,14,14,168.5
486,676,14,14,169.0
516,676,14,14,169.0
546,676,14,14,168.5
