cx,cy
503,688
526,688
550,688
574,688
597,688
621,688
645,688
668,688
692,688
716,688
739,688
763,688
787,688
810,688
834,688
363,711
919,711
943,711
967,711
990,711
1014,711
503,712
526,712
550,712
574,712
597,712
621,712
645,712
668,712
692,712
716,712
740,712
763,712
787,712
811,712
834,712
198,732
246,733
269,732
293,732
919,734
943,735
967,734
990,734
1014,735
1038,734
1062,734
1085,734
1109,734
1133,734
503,736
526,736
550,736
574,736
597,736
621,736
645,736
668,736
692,736
716,736
739,736
763,736
787,736
811,736
834,736
198,752
222,752
245,752
269,752
293,752
317,752
340,752
364,752
388,752
411,752
174,753
920,758
943,758
967,758
991,758
1014,758
1038,758
1062,758
1085,758
1109,758
1133,758
1156,758
503,760
526,760
550,760
574,760
597,760
621,760
645,760
668,760
692,760
716,759
739,759
763,760
787,759
810,759
834,760
174,777
198,777
222,777
245,777
269,777
293,777
317,777
340,777
364,777
388,777
411,777
919,782
943,782
967,782
991,782
1014,782
1038,782
1062,782
1085,782
1109,782
1133,782
1156,782
503,783
526,783
550,783
574,783
597,783
621,783
645,783
668,783
692,783
716,783
740,783
763,783
787,783
811,783
834,783
150,804
174,804
198,804
222,804
245,804
269,804
293,804
316,804
340,804
364,804
387,804
411,804
503,807
526,807
550,807
574,807
597,807
621,807
645,807
668,807
692,807
716,807
739,807
763,807
787,807
811,807
834,807
919,806
943,806
967,806
990,806
1014,806
1038,806
1061,806
1085,806
1109,806
1133,806
1156,806
1180,806
127,829
150,829
174,829
198,829
221,829
245,829
269,829
292,829
316,829
340,829
363,829
387,829
411,829
920,830
943,830
967,830
991,830
1014,830
1038,830
1062,830
1085,830
1109,830
1133,830
1156,830
1180,830
1204,830
503,832
526,832
550,832
574,832
597,832
621,832
645,832
668,832
692,832
716,832
739,831
763,832
787,832
811,832
834,832
128,851
151,851
175,851
199,851
222,851
246,851
270,851
293,851
317,851
341,851
364,851
388,851
412,851
104,852
920,854
943,854
967,854
991,854
1014,854
1038,854
1062,854
1085,854
1109,854
1133,854
1156,854
1180,854
1204,854
1227,854
503,855
526,855
550,855
574,855
597,855
621,855
645,855
668,855
692,855
716,855
740,855
763,855
787,855
811,855
834,855
104,876
128,876
151,876
175,875
199,876
222,876
246,876
270,876
293,876
317,876
341,876
364,876
388,876
412,876
919,878
943,878
967,878
991,878
1014,878
1038,878
1062,878
1085,878
1109,878
1133,878
1156,878
1180,878
1204,878
1227,878
503,879
526,879
550,879
574,879
597,879
621,879
645,879
668,879
692,879
716,879
740,879
763,879
787,879
811,879
834,879
80,901
104,901
127,901
151,901
175,901
198,901
222,901
246,901
269,901
293,901
317,901
340,901
364,901
388,901
412,901
503,903
526,903
550,903
574,903
597,903
621,903
645,903
668,903
692,903
716,903
739,902
763,903
787,903
811,903
834,903
920,901
943,901
967,901
991,901
1014,901
1038,901
1062,901
1085,901
1109,901
1133,901
1156,901
1180,901
1204,901
1227,901
80,925
104,925
127,925
151,925
175,925
198,925
246,925
269,925
340,924
364,925
388,924
411,924
503,926
526,926
550,926
574,926
597,926
621,926
645,926
668,926
692,926
716,926
740,926
763,926
787,926
811,926
834,926
920,925
943,925
967,925
991,925
1062,925
1085,925
1109,925
1156,925
1180,925
1204,925
1227,925
341,948
364,948
388,948
412,948
919,949
943,949
967,949
991,949
503,950
526,950
550,950
574,950
597,950
621,950
645,950
668,950
692,950
716,950
740,950
763,950
787,950
811,950
834,950
319,711
339,711
385,711
408,711
220,734
315,734
338,734
364,734
384,734
408,734
1248,898
